{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.003216567500000008}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 1.560003254953661e-32}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 9.4370567274974557e-33}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.0044720674999999986}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.0077915674999999981}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 1.9259299443872359e-34}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.0044720674999999986}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.0013286025000000007}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.0044720674999999986}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.0011700674999999959}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.0044720674999999986}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 4.9496399570751961e-32}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.0032165674999999976}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.003216567499999998}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0077915674999999981}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0080086674999999951}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.004472067500000009}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0032165674999999976}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0066341024999999991}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.003216567499999998}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0097775674999999972}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0080086674999999951}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 1.9259299443872359e-34}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.0097775674999999972}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.0049522675000000117}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0044720674999999986}
