{'C': 4.1231088666383296e-05, 'mse': 73.338773984492335, 'gamma': 2.2737518349330467e-06}
{'C': 0.00019337893007507757, 'mse': 73.346249512193424, 'gamma': 11.526361435379201}
{'C': 117108.15323943121, 'mse': 147.28803937507138, 'gamma': 0.00048342256814655639}
{'C': 0.015527405517052189, 'mse': 70.823354870278166, 'gamma': 2.2219373547512649e-06}
{'C': 7.8507165026256427, 'mse': 73.337054553541932, 'gamma': 113.51193734206797}
{'C': 0.50939288795181836, 'mse': 72.663240743644579, 'gamma': 1.3161781326335347e-08}
{'C': 273.327524903116, 'mse': 75.095057051708864, 'gamma': 736.76137459328277}
{'C': 0.72859286528676759, 'mse': 71.279309385277045, 'gamma': 0.050785273956655379}
{'C': 48.273347357076112, 'mse': 44.304051982850162, 'gamma': 7.2295358657352292e-07}
{'C': 1.1985278848650786e-08, 'mse': 73.346273737352888, 'gamma': 6.6325723930114019e-07}
{'C': 81.516606205957501, 'mse': 74.807208280542511, 'gamma': 3.6213425453824413}
{'C': 4.9391554386487768e-06, 'mse': 73.34567079188102, 'gamma': 0.00049694353049984036}
{'C': 16.756718265940734, 'mse': 72.121149018302745, 'gamma': 0.24667570299765537}
{'C': 333943.18869908719, 'mse': 75.095057051708864, 'gamma': 540.11991960705632}
{'C': 352225.34381789831, 'mse': 71.659244406037729, 'gamma': 0.16219740446520334}
{'C': 522281.37655971793, 'mse': 150.89854556653293, 'gamma': 0.0007794731742086753}
{'C': 631318.10352398595, 'mse': 13.528612121871356, 'gamma': 2.8718898178130722e-06}
{'C': 63916.986765236492, 'mse': 74.974847128447891, 'gamma': 0.7340921591335835}
{'C': 6485.2095872741711, 'mse': 34.686358647974984, 'gamma': 3.2144491785610883e-08}
{'C': 0.19190722962877368, 'mse': 72.791459734651312, 'gamma': 0.055017436024498781}
{'C': 7.6126195194448645, 'mse': 43.628335364197156, 'gamma': 6.8173049602460115e-06}
{'C': 2.3183782900462537, 'mse': 72.962567063272104, 'gamma': 0.61361396299835524}
{'C': 0.15998401284617147, 'mse': 64.898405748837362, 'gamma': 0.00090245835339065124}
{'C': 43.007395646332, 'mse': 38.117557081337736, 'gamma': 2.7148233331459024e-06}
{'C': 2.6661274009738223e-07, 'mse': 73.34627448894787, 'gamma': 7.398153079743895e-10}
{'C': 3009.0477444340904, 'mse': 46.145960136894189, 'gamma': 7.0848824888553493e-09}
{'C': 82.571365318610376, 'mse': 75.05449768485397, 'gamma': 1.186069247338883}
{'C': 6.9859529168997124e-05, 'mse': 73.34626670257741, 'gamma': 54.387853138643756}
{'C': 1.0626948472561883e-05, 'mse': 73.342777502018961, 'gamma': 6.7865637190265424e-05}
{'C': 0.00073564681994087915, 'mse': 73.06917931237318, 'gamma': 3.3633063247403186e-05}
{'C': 3.901017396832832e-07, 'mse': 73.34617606122228, 'gamma': 3.6990270021541392e-06}
{'C': 0.29545580704908297, 'mse': 71.923730497040069, 'gamma': 0.034007785069415368}
{'C': 34.123995779890187, 'mse': 31.028332632853708, 'gamma': 1.533056323989698e-05}
