{'nb_hidden3': 233, 'nb_hidden2': 489, 'nb_hidden1': 386, 'mse': 0.010617403, 'learning_rate': 2.7024051156725612e-05, 'keep_value': 0.13910402830728508, 'reg_scale': 1.4893014485892884e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 85, 'nb_hidden2': 15, 'nb_hidden1': 326, 'mse': 0.024891833, 'learning_rate': 0.0027361906051378026, 'keep_value': 0.92204861837086038, 'reg_scale': 0.0048541261501058993, 'nb_hidden_layer': 1}
{'nb_hidden3': 424, 'nb_hidden2': 79, 'nb_hidden1': 193, 'mse': 2.0669186, 'learning_rate': 0.01747006627426077, 'keep_value': 0.12172090880305086, 'reg_scale': 1.4243215263620592, 'nb_hidden_layer': 1}
{'nb_hidden3': 70, 'nb_hidden2': 110, 'nb_hidden1': 353, 'mse': 0.026685413, 'learning_rate': 7.5423905376851438e-05, 'keep_value': 0.39445003318796146, 'reg_scale': 0.005406265178833477, 'nb_hidden_layer': 1}
{'nb_hidden3': 345, 'nb_hidden2': 255, 'nb_hidden1': 499, 'mse': 0.0076740365, 'learning_rate': 0.00024451830328696688, 'keep_value': 0.9432575175950404, 'reg_scale': 0.0053482763077374769, 'nb_hidden_layer': 3}
{'nb_hidden3': 432, 'nb_hidden2': 461, 'nb_hidden1': 81, 'mse': 0.0017549384, 'learning_rate': 9.2442738253317372e-05, 'keep_value': 0.86968652970822846, 'reg_scale': 2.2266747204193081e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 278, 'nb_hidden2': 12, 'nb_hidden1': 44, 'mse': 13093.162, 'learning_rate': 4.8648589885976588, 'keep_value': 0.088137647012253906, 'reg_scale': 2.5800840873093278e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 15, 'nb_hidden2': 396, 'nb_hidden1': 172, 'mse': 0.011011579, 'learning_rate': 0.00021130503028842082, 'keep_value': 0.28825944112338675, 'reg_scale': 0.0017179866146478796, 'nb_hidden_layer': 3}
{'nb_hidden3': 136, 'nb_hidden2': 131, 'nb_hidden1': 377, 'mse': 303.98483, 'learning_rate': 4.4877548685975652, 'keep_value': 0.27000909435269704, 'reg_scale': 4.4747619117435877e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 110, 'nb_hidden2': 90, 'nb_hidden1': 426, 'mse': 0.0031037435, 'learning_rate': 0.00034710926952593181, 'keep_value': 0.096428504587677266, 'reg_scale': 0.0011928376649374278, 'nb_hidden_layer': 2}
{'nb_hidden3': 186, 'nb_hidden2': 120, 'nb_hidden1': 28, 'mse': 15127.056, 'learning_rate': 11.479107919881578, 'keep_value': 0.6407247341324297, 'reg_scale': 1.6827387966975261e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 239, 'nb_hidden2': 263, 'nb_hidden1': 449, 'mse': 178.37285, 'learning_rate': 3.5497255004129609, 'keep_value': 0.68575480313329917, 'reg_scale': 1.1463152640039657e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 200, 'nb_hidden2': 390, 'nb_hidden1': 394, 'mse': 3350942.0, 'learning_rate': 57.942437359405346, 'keep_value': 0.50247368572126627, 'reg_scale': 0.47699499689015845, 'nb_hidden_layer': 3}
{'nb_hidden3': 276, 'nb_hidden2': 406, 'nb_hidden1': 194, 'mse': 225295.02, 'learning_rate': 8.6134225473261967, 'keep_value': 0.82265875813158751, 'reg_scale': 0.36264001673132545, 'nb_hidden_layer': 3}
{'nb_hidden3': 319, 'nb_hidden2': 405, 'nb_hidden1': 455, 'mse': 2356921.0, 'learning_rate': 30.824249511729537, 'keep_value': 0.49927045544084958, 'reg_scale': 1.9680485361360618e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 313, 'nb_hidden2': 334, 'nb_hidden1': 33, 'mse': 23.972343, 'learning_rate': 0.10438638578444152, 'keep_value': 0.069740418162930751, 'reg_scale': 1.9047897690529909e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 424, 'nb_hidden2': 415, 'nb_hidden1': 256, 'mse': 0.092712291, 'learning_rate': 0.0051906829713773755, 'keep_value': 0.29570200116544909, 'reg_scale': 4.7021092482324968e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 319, 'nb_hidden2': 152, 'nb_hidden1': 77, 'mse': 133.76476, 'learning_rate': 1.7879072169199333, 'keep_value': 0.11619633301755017, 'reg_scale': 4.6110247296985724e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 412, 'nb_hidden2': 185, 'nb_hidden1': 222, 'mse': 5.1283107, 'learning_rate': 0.09611231775186739, 'keep_value': 0.67946370859465932, 'reg_scale': 0.0049179894607516428, 'nb_hidden_layer': 3}
{'nb_hidden3': 231, 'nb_hidden2': 345, 'nb_hidden1': 306, 'mse': 8.9698143, 'learning_rate': 0.075828728294800432, 'keep_value': 0.1472826913305233, 'reg_scale': 0.00027630474838389332, 'nb_hidden_layer': 1}
{'nb_hidden3': 205, 'nb_hidden2': 187, 'nb_hidden1': 245, 'mse': 5.5236378, 'learning_rate': 0.19952365561542851, 'keep_value': 0.080954097864153307, 'reg_scale': 1.8246213945249328e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 54, 'nb_hidden2': 325, 'nb_hidden1': 31, 'mse': 0.00078149908, 'learning_rate': 0.0021338815700533966, 'keep_value': 0.08858531615519416, 'reg_scale': 2.6961025871186118e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 330, 'nb_hidden2': 246, 'nb_hidden1': 476, 'mse': 0.85993594, 'learning_rate': 1.6779368581387463e-05, 'keep_value': 0.010947575473559956, 'reg_scale': 0.00014893816384013231, 'nb_hidden_layer': 1}
{'nb_hidden3': 49, 'nb_hidden2': 391, 'nb_hidden1': 96, 'mse': 33289.891, 'learning_rate': 21.149079997114992, 'keep_value': 0.38999237734840175, 'reg_scale': 0.00080334953208615093, 'nb_hidden_layer': 3}
{'nb_hidden3': 112, 'nb_hidden2': 42, 'nb_hidden1': 66, 'mse': 8.1207008, 'learning_rate': 2.5424698844635453e-05, 'keep_value': 0.34742847885164396, 'reg_scale': 1.4716534494365212e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 235, 'nb_hidden2': 249, 'nb_hidden1': 141, 'mse': 3383769.0, 'learning_rate': 45.437595926041844, 'keep_value': 0.25113834424439274, 'reg_scale': 5.2976634438656879e-05, 'nb_hidden_layer': 3}
