{'C': 0.24649179784247999, 'mse': 1.0496456483020014, 'gamma': 6.7983684625675673e-07}
{'C': 4.4730450026944583e-08, 'mse': 1.0496481924999455, 'gamma': 7.9085899281748809e-08}
{'C': 1.2440249482786758, 'mse': 0.026409954549743993, 'gamma': 15.840728276998457}
{'C': 2.9354545217914675e-08, 'mse': 1.0496480263484271, 'gamma': 18.071377030837272}
{'C': 0.00068126742195948563, 'mse': 1.0462984110214222, 'gamma': 25.018749669493538}
{'C': 0.09628988574404071, 'mse': 1.0280796363753597, 'gamma': 268.15792567419004}
{'C': 0.79361987364271802, 'mse': 1.0496472163661197, 'gamma': 8.0115174531112841e-08}
{'C': 0.0042818906094638214, 'mse': 1.0178719537146077, 'gamma': 3.9050385562676677}
{'C': 52.491780840765394, 'mse': 0.04521841500270616, 'gamma': 18.814411337563044}
{'C': 202077.78646546509, 'mse': 0.872041297988977, 'gamma': 6.5397420995392013e-08}
{'C': 16.479004743955393, 'mse': 1.0496469659218604, 'gamma': 6.0115998155820513e-09}
{'C': 0.00010979546072016079, 'mse': 1.0496481924990284, 'gamma': 7.1449901550778304e-10}
{'C': 6.9227475716867045e-07, 'mse': 1.0496481922861114, 'gamma': 2.0320940540905716e-05}
{'C': 6.3019632001530899e-08, 'mse': 1.0496481924996515, 'gamma': 3.6309175986651881e-07}
{'C': 2.2740609386560022, 'mse': 0.99982326239821673, 'gamma': 0.0016468735443945289}
{'C': 5.7924820609184977e-10, 'mse': 1.0496481924999939, 'gamma': 6.8826340608948127e-07}
{'C': 23.864021484425713, 'mse': 0.41935296190814331, 'gamma': 0.012579798880422132}
{'C': 698310.19801406353, 'mse': 1.04754828055809, 'gamma': 2.432672251035499e-10}
{'C': 2.9164319789601537e-10, 'mse': 1.0496481924999546, 'gamma': 1.0223314550431985e-05}
{'C': 371.43645931716298, 'mse': 1.0320734486383287, 'gamma': 3.3030913140504427e-06}
{'C': 0.21054597596764435, 'mse': 1.0358883244585442, 'gamma': 0.0044587365792951557}
{'C': 588639.7085804888, 'mse': 0.0079197154655316852, 'gamma': 0.021129581191865081}
{'C': 8.9696481937933229e-06, 'mse': 1.0496476499020202, 'gamma': 0.0039912221988849727}
{'C': 0.0023203077107409502, 'mse': 1.0397159280441761, 'gamma': 17.03199217735758}
{'C': 227916.76696983815, 'mse': 0.15792366848749934, 'gamma': 61.437585535005901}
{'C': 1.1275470232564133, 'mse': 0.010843774437291773, 'gamma': 1.6511577112362552}
{'C': 8.4693161163026237e-06, 'mse': 1.049573973549399, 'gamma': 1.3853396953710722}
{'C': 1.3134755705757559e-10, 'mse': 1.0496481924999161, 'gamma': 4.1884679942740113e-05}
{'C': 1.4659883555659289e-09, 'mse': 1.0496481924999255, 'gamma': 3.3420829358049665e-06}
{'C': 8.4037108183024803e-06, 'mse': 1.0496481923092322, 'gamma': 1.4937773054493717e-06}
{'C': 29339.524050813907, 'mse': 0.49707673486174486, 'gamma': 4.3538720543506043e-06}
{'C': 13.096552458335477, 'mse': 1.0259950717009931, 'gamma': 0.0001291279883668292}
{'C': 0.098172138701030587, 'mse': 1.0487934536969874, 'gamma': 0.00057315910752069889}
{'C': 1.836720962978734, 'mse': 0.65420735379525896, 'gamma': 0.0217096948374941}
