{'nb_hidden3': 211, 'nb_hidden2': 11, 'nb_hidden1': 313, 'mse': 503.24518, 'learning_rate': 1.627984353861647, 'keep_value': 0.80117200011599721, 'reg_scale': 4.8808706605467822e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 196, 'nb_hidden2': 298, 'nb_hidden1': 295, 'mse': 246.49763, 'learning_rate': 2.1512201923698688, 'keep_value': 0.8624721375855634, 'reg_scale': 8.6645553828885788e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 433, 'nb_hidden2': 296, 'nb_hidden1': 15, 'mse': 180.17322, 'learning_rate': 0.077537658956791142, 'keep_value': 0.60276191620011021, 'reg_scale': 8.0477236773986398, 'nb_hidden_layer': 2}
{'nb_hidden3': 451, 'nb_hidden2': 395, 'nb_hidden1': 453, 'mse': 2275.0698, 'learning_rate': 3.0963626414374949e-05, 'keep_value': 0.0872381840828651, 'reg_scale': 2.9068605684817215e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 190, 'nb_hidden2': 446, 'nb_hidden1': 363, 'mse': 422.46512, 'learning_rate': 0.53203633536786221, 'keep_value': 0.50198036411017122, 'reg_scale': 6.1838100040263095e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 167, 'nb_hidden2': 238, 'nb_hidden1': 262, 'mse': 890.13464, 'learning_rate': 3.0118237562020306e-05, 'keep_value': 0.57789770405143459, 'reg_scale': 0.00028202349302117072, 'nb_hidden_layer': 2}
{'nb_hidden3': 199, 'nb_hidden2': 168, 'nb_hidden1': 100, 'mse': 52.330231, 'learning_rate': 0.020698535320543433, 'keep_value': 0.3036671548044636, 'reg_scale': 2.7916589734619938e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 481, 'nb_hidden2': 497, 'nb_hidden1': 239, 'mse': 28099.16, 'learning_rate': 5.9570648134285875, 'keep_value': 0.31468313640171108, 'reg_scale': 1.7494399562209916e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 214, 'nb_hidden2': 196, 'nb_hidden1': 184, 'mse': 480.61496, 'learning_rate': 0.14673721620736402, 'keep_value': 0.83440710682224628, 'reg_scale': 5.9155630585876808e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 59, 'nb_hidden2': 193, 'nb_hidden1': 252, 'mse': 65.175018, 'learning_rate': 0.0080477362739310599, 'keep_value': 0.014288058555831484, 'reg_scale': 9.8863716609892322e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 60, 'nb_hidden2': 246, 'nb_hidden1': 243, 'mse': 5103.0967, 'learning_rate': 0.00016019071665666947, 'keep_value': 0.97776198792384994, 'reg_scale': 1.2016079649285057e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 359, 'nb_hidden2': 72, 'nb_hidden1': 140, 'mse': 1265.1848, 'learning_rate': 0.24046371255683749, 'keep_value': 0.61991489450275961, 'reg_scale': 0.80450258587225831, 'nb_hidden_layer': 1}
{'nb_hidden3': 141, 'nb_hidden2': 442, 'nb_hidden1': 189, 'mse': 66.105705, 'learning_rate': 0.00013772915413803026, 'keep_value': 0.91586551532865945, 'reg_scale': 7.6660493924035347, 'nb_hidden_layer': 1}
{'nb_hidden3': 177, 'nb_hidden2': 346, 'nb_hidden1': 154, 'mse': 7526.0503, 'learning_rate': 4.2193616312547064, 'keep_value': 0.33047643871295229, 'reg_scale': 3.8773316099130362e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 474, 'nb_hidden2': 8, 'nb_hidden1': 446, 'mse': 512.98053, 'learning_rate': 0.37141698221847369, 'keep_value': 0.26670562690375477, 'reg_scale': 2.6251751769299579e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 292, 'nb_hidden2': 367, 'nb_hidden1': 260, 'mse': 47.092064, 'learning_rate': 0.0018392837025223323, 'keep_value': 0.38831862497097791, 'reg_scale': 3.3476195940253649e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 42, 'nb_hidden2': 452, 'nb_hidden1': 435, 'mse': 52.184395, 'learning_rate': 0.01240464045110804, 'keep_value': 0.5384169041289163, 'reg_scale': 3.3207347800170446e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 334, 'nb_hidden2': 414, 'nb_hidden1': 83, 'mse': 5464.7397, 'learning_rate': 1.6299046632645808, 'keep_value': 0.0023023065716298863, 'reg_scale': 2.3193102570139993e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 67, 'nb_hidden2': 89, 'nb_hidden1': 164, 'mse': 54.319099, 'learning_rate': 0.0093482850871442064, 'keep_value': 0.66079812084164502, 'reg_scale': 0.035284112969694095, 'nb_hidden_layer': 2}
{'nb_hidden3': 236, 'nb_hidden2': 116, 'nb_hidden1': 109, 'mse': 54.431168, 'learning_rate': 0.016829373753221532, 'keep_value': 0.37316774574328149, 'reg_scale': 0.32612541356731251, 'nb_hidden_layer': 1}
{'nb_hidden3': 292, 'nb_hidden2': 330, 'nb_hidden1': 432, 'mse': 9802.626, 'learning_rate': 0.88547685641474039, 'keep_value': 0.30464084848763273, 'reg_scale': 0.073587464825712351, 'nb_hidden_layer': 1}
{'nb_hidden3': 162, 'nb_hidden2': 154, 'nb_hidden1': 440, 'mse': 372883.19, 'learning_rate': 45.372711843189826, 'keep_value': 0.67813121294805578, 'reg_scale': 4.2108216731882465e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 468, 'nb_hidden2': 92, 'nb_hidden1': 224, 'mse': 31573.035, 'learning_rate': 3.6201517069941738, 'keep_value': 0.85304605125377142, 'reg_scale': 1.5599541677107189, 'nb_hidden_layer': 2}
