{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.2035035353305}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.21041048723200004}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.20053043033499993}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.20512296431758772}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.20797735071200002}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.21041048723200004}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.20366811488699987}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.208304030083}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.19934066446649992}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.21041048723200004}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.20645177604249995}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.19436055394378685}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.21041048723200004}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.24502115288340773}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.24944668764964351}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.22330823899250002}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.24944668764964351}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.24720291490610435}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.22634669972950008}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.23966500498570942}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.23985457462417376}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.24728770124095673}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.21961281450299996}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.23791130902961946}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.2532614531165}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.20645177604249995}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.21041048723200004}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.24944668764964351}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.20876838075399998}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.2035035353305}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.22634669972950008}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.24641992181380776}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.24585544079434477}
