{'C': 0.01109162532695456, 'mse': 0.041671117386793355, 'gamma': 1.4240365673765878e-09}
{'C': 0.00027639624446193327, 'mse': 0.041667380286012121, 'gamma': 0.00087395345496944299}
{'C': 2.5453079008572645, 'mse': 0.041359641420535873, 'gamma': 5.6397932178704075e-05}
{'C': 0.0020666778519221629, 'mse': 0.041666892917858273, 'gamma': 42.199443137120113}
{'C': 0.0031250794082159986, 'mse': 0.04167078784725884, 'gamma': 5.1254650831029961e-09}
{'C': 0.0001681762836560757, 'mse': 0.041667380286012121, 'gamma': 1.9882951590093948e-05}
{'C': 102775.23100587232, 'mse': 0.041342604035920855, 'gamma': 2.7655577835731375e-09}
{'C': 0.043117245427625149, 'mse': 0.041645579349533064, 'gamma': 2.5917653382821384}
{'C': 3.726250566553139e-07, 'mse': 0.041667380286012121, 'gamma': 1.7039876536686695e-08}
{'C': 2.9396813871813756e-09, 'mse': 0.041667380286012121, 'gamma': 1.4673378516332479e-06}
{'C': 0.035145477583139344, 'mse': 0.041640756660712007, 'gamma': 1.7099041862242062e-09}
{'C': 0.18218413168269335, 'mse': 0.041400849462691451, 'gamma': 2.9329440487563635e-10}
{'C': 6.802715296224858, 'mse': 0.041359641420535873, 'gamma': 0.369263883750925}
{'C': 4.7288306928041423e-07, 'mse': 0.041667380283447582, 'gamma': 4.8246831953003081e-09}
{'C': 2.3855172644592673e-07, 'mse': 0.041667380286012121, 'gamma': 0.0069194129576501447}
{'C': 0.0043983525275300235, 'mse': 0.041674163198878164, 'gamma': 0.00013512035858641232}
{'C': 1.2827707920671832e-06, 'mse': 0.041667380286012121, 'gamma': 0.16284240695546351}
{'C': 8.225568448421301e-06, 'mse': 0.04166738017488348, 'gamma': 3.9708215098163788e-09}
{'C': 6.4890017354980208e-08, 'mse': 0.041667380286012121, 'gamma': 1.6333257813400946e-08}
{'C': 5.9250111992028212e-10, 'mse': 0.041667380286012121, 'gamma': 7.5724695713037288e-06}
{'C': 0.0014819151212171941, 'mse': 0.041658305433748127, 'gamma': 1.0720614386856635e-10}
{'C': 553.68939657549083, 'mse': 0.041359641420535873, 'gamma': 0.0017703892799802513}
{'C': 0.002485319510912248, 'mse': 0.04166869467919556, 'gamma': 0.012862255667050187}
{'C': 2.2362385147866514e-06, 'mse': 0.041667380284895555, 'gamma': 7.0855842722912358e-09}
{'C': 7.4665937656166639, 'mse': 0.041359641420535873, 'gamma': 9.1186331251664015e-05}
{'C': 2.1793294685248923, 'mse': 0.041361646333150003, 'gamma': 6.7829796129969582}
{'C': 133013.90306135462, 'mse': 0.041359641420535873, 'gamma': 0.11928252426116737}
{'C': 0.0030378397154023325, 'mse': 0.041670800168859476, 'gamma': 7.8564285242941122e-08}
{'C': 8.3740630703375794e-10, 'mse': 0.041667380286012121, 'gamma': 4.7603651798319466e-08}
{'C': 1.7414995448231554e-08, 'mse': 0.041667380286012121, 'gamma': 10.475531455131778}
{'C': 46.129043119367495, 'mse': 0.041286599979498698, 'gamma': 1.1643506143222375e-09}
{'C': 248.32859743701209, 'mse': 0.041359641420535873, 'gamma': 4.5567615453655666e-07}
{'C': 4.9545963644300328e-07, 'mse': 0.041667380286012121, 'gamma': 0.95436021319154662}
{'C': 0.0080410091469404251, 'mse': 0.041676886389178845, 'gamma': 0.099476642632090911}
{'C': 0.0057749792356461402, 'mse': 0.041667661604031611, 'gamma': 3.2366326461871416e-10}
