{'C': 6.4283656654241179, 'mse': 0.0055164512238686106, 'gamma': 0.12171271896500797}
{'C': 82.138015488416869, 'mse': 0.011459256398109886, 'gamma': 0.00045956451514715603}
{'C': 5.1589307941607248e-09, 'mse': 0.039780573731000003, 'gamma': 131.68866578985941}
{'C': 0.0041645918944999217, 'mse': 0.039782442917465979, 'gamma': 0.00013063679746940963}
{'C': 4.4329980659909284e-06, 'mse': 0.039841532662189538, 'gamma': 1.3259053030368091e-05}
{'C': 0.0047333594323457134, 'mse': 0.03984057602773064, 'gamma': 2.0319686958291697e-06}
{'C': 6.2133536081687596e-10, 'mse': 0.039780573261532316, 'gamma': 0.51690679212033241}
{'C': 2.331241772997046e-06, 'mse': 0.039811804666676963, 'gamma': 1.78324640893735e-09}
{'C': 0.0038521876353381813, 'mse': 0.038442677166776566, 'gamma': 0.0047548687092426887}
{'C': 15280.132856619477, 'mse': 0.038564793485017332, 'gamma': 53.608862642898828}
{'C': 6.3109577671292379e-08, 'mse': 0.039841496116180722, 'gamma': 0.0049956065291103845}
{'C': 62.65994858321011, 'mse': 0.0073579641906406177, 'gamma': 0.48809713783848813}
{'C': 0.094404033583782812, 'mse': 0.029937955867194131, 'gamma': 1.2347932171240956}
{'C': 5.1996193372336723, 'mse': 0.037838299611679206, 'gamma': 0.00011943077248068624}
{'C': 7017.4132411193286, 'mse': 0.03861459594888135, 'gamma': 9.1942251468669371e-07}
{'C': 0.0013181304007911041, 'mse': 0.039841509157473629, 'gamma': 2.2278655529781321e-07}
{'C': 6.5657045118949189e-08, 'mse': 0.039807528023455135, 'gamma': 0.13063917375390457}
{'C': 1.3175342076308429e-08, 'mse': 0.039841538548742943, 'gamma': 1.7117761076949494e-06}
{'C': 1.821976916993316e-06, 'mse': 0.039838210301732679, 'gamma': 0.011544515828484229}
{'C': 1.1509622876063383e-10, 'mse': 0.039841538437778559, 'gamma': 0.0068594496849338415}
{'C': 1463.2988415139962, 'mse': 0.038966737218688569, 'gamma': 4.5082858693268967e-08}
{'C': 0.81415684720303372, 'mse': 0.0085468339804406802, 'gamma': 0.0088333189008133004}
{'C': 2.5332042326309343e-10, 'mse': 0.039841538550991665, 'gamma': 3.2909193716412442e-07}
{'C': 0.014091522430880524, 'mse': 0.03978057313264674, 'gamma': 4.4214365605161848e-10}
{'C': 1.6775556233221238, 'mse': 0.039807147816782767, 'gamma': 3.6043943215532913e-08}
{'C': 29.59666806479283, 'mse': 0.039619696215760891, 'gamma': 1.0301624439885905e-07}
{'C': 0.00087562485526331718, 'mse': 0.039841516270544906, 'gamma': 2.5453235389339408e-07}
{'C': 0.0061020057609405222, 'mse': 0.039703483197493401, 'gamma': 9.030119618303619}
{'C': 1.3231877118984054e-06, 'mse': 0.039841538409312684, 'gamma': 1.0700578092563065e-06}
{'C': 0.061280392781756336, 'mse': 0.039792893408468033, 'gamma': 4.0887927721368045e-06}
{'C': 0.027508226689536508, 'mse': 0.039811796944655524, 'gamma': 3.7726672448050542e-09}
{'C': 0.00042100367281020781, 'mse': 0.039841536251600557, 'gamma': 5.471582386332753e-08}
{'C': 0.3816465827728136, 'mse': 0.0051632380292565795, 'gamma': 0.052683937740612689}
{'C': 0.048308284826163408, 'mse': 0.038958802709377648, 'gamma': 598.0930983666052}
