{'C': 2.1349435552779017, 'mse': 0.0061666303561158523, 'gamma': 0.54703788473080162}
{'C': 1510.3198965430602, 'mse': 0.0041485280542368384, 'gamma': 0.22725988459790392}
{'C': 328.96687989049281, 'mse': 0.0086232705964359394, 'gamma': 0.070726945586147283}
{'C': 32194.339937179608, 'mse': 0.0083550798473047902, 'gamma': 1.3177203439559995}
{'C': 2.7488460734625333, 'mse': 0.27048726778878446, 'gamma': 0.00017722339904328012}
{'C': 2.0098095562967886e-10, 'mse': 0.27883774696822627, 'gamma': 37.798913988416693}
{'C': 1.2805601212852656e-06, 'mse': 0.27883774710558312, 'gamma': 1.5122127254418202e-10}
{'C': 315.09443281557947, 'mse': 0.27865733663465719, 'gamma': 2.8465082671288301e-10}
{'C': 2.9912462527019402e-10, 'mse': 0.27883774710599951, 'gamma': 2.9416083429790043e-08}
{'C': 4.1794835050007924e-09, 'mse': 0.27883764870250566, 'gamma': 0.070834437134346562}
{'C': 0.00048671893683985978, 'mse': 0.27883774744857898, 'gamma': 3.0146180952515059e-09}
{'C': 7535.7632148016819, 'mse': 0.13343458272820549, 'gamma': 0.00013218718191239696}
{'C': 41.708708678996459, 'mse': 0.27890713057035027, 'gamma': 1.7291201863212878e-08}
{'C': 2.5803350174515761e-06, 'mse': 0.2787590335850974, 'gamma': 0.15565957182544368}
{'C': 6.6696625390500218e-10, 'mse': 0.27883774694364688, 'gamma': 640.54526181616552}
{'C': 0.012424936646000743, 'mse': 0.27883794014324043, 'gamma': 1.7185069682537662e-07}
{'C': 2.7029951858742302e-10, 'mse': 0.2788377471193268, 'gamma': 0.0010142564244811577}
{'C': 2.338998320615496e-05, 'mse': 0.27883774713011378, 'gamma': 1.0759922792836586e-08}
{'C': 4.3301865233493954e-10, 'mse': 0.27883774643342929, 'gamma': 0.0087408548526475421}
{'C': 1.4423940131766118e-08, 'mse': 0.27883738140975156, 'gamma': 0.43436197920235498}
{'C': 0.00046987549446237526, 'mse': 0.27828358244332796, 'gamma': 19.39714851710858}
{'C': 694.53201953026598, 'mse': 0.27934941964767984, 'gamma': 1.1424832311131416e-09}
{'C': 5.2694722674729777e-07, 'mse': 0.27883775614931827, 'gamma': 0.00020915664063830109}
{'C': 494158.69249553786, 'mse': 0.23794088268474764, 'gamma': 7.2170483462568463e-09}
{'C': 1.5064895319443538e-07, 'mse': 0.27883771130156876, 'gamma': 855.1041921869986}
{'C': 8.5745794343612861e-10, 'mse': 0.27883774689847046, 'gamma': 680.86327443185667}
{'C': 0.00037105464947684519, 'mse': 0.27874212862045228, 'gamma': 0.0041710235157190589}
{'C': 0.0031552325054254888, 'mse': 0.27883830385817654, 'gamma': 1.9372818306266168e-06}
{'C': 0.0020997365078414413, 'mse': 0.23814046605100117, 'gamma': 0.037462683383444564}
{'C': 191.40119599810041, 'mse': 0.27854349628033853, 'gamma': 6.1641703012402294e-08}
{'C': 0.55624622771288879, 'mse': 0.27890815926720569, 'gamma': 8.9063233192955994e-06}
{'C': 1.0118887513598908e-09, 'mse': 0.27883774710602777, 'gamma': 3.070797109777516e-07}
{'C': 6.3360513308622074e-09, 'mse': 0.2788377446502795, 'gamma': 101.49322801088319}
{'C': 0.0019486247069217596, 'mse': 0.27883774903836955, 'gamma': 1.0226351068966898e-08}
