{'C': 0.032747241533805163, 'mse': 0.53377433009858177, 'gamma': 2.9433914321028349}
{'C': 0.095467403044374927, 'mse': 0.017566002998566602, 'gamma': 0.00056112309297145569}
{'C': 549991.55182111671, 'mse': 0.0061443462185803059, 'gamma': 3.2495975686038757e-07}
{'C': 5.1306929671751833, 'mse': 0.1457879730332787, 'gamma': 1.3752190973055855e-07}
{'C': 5.7412857045581891, 'mse': 0.53418338430695855, 'gamma': 2.4904903376736789e-10}
{'C': 136762.67177576298, 'mse': 0.55035111059099917, 'gamma': 460.66013681268885}
{'C': 0.11323151425854946, 'mse': 0.52933758959497057, 'gamma': 5.1245964537394656e-08}
{'C': 91588.877636599311, 'mse': 0.0089523264393933325, 'gamma': 0.0047258698215980931}
{'C': 20131.505553563678, 'mse': 0.0087398336994997296, 'gamma': 0.063944489184196346}
{'C': 0.009530951476463807, 'mse': 0.52479840566078728, 'gamma': 0.44384151717738374}
{'C': 4.6548294065244942e-05, 'mse': 0.53574210719376159, 'gamma': 0.75134547716017608}
{'C': 7.0504039085644377e-05, 'mse': 0.5357751444899701, 'gamma': 21.865325961398089}
{'C': 0.01868008841025217, 'mse': 0.53610178392382779, 'gamma': 15.132982167696111}
{'C': 0.02593237393743078, 'mse': 0.53628122740499973, 'gamma': 426.85249688750645}
{'C': 670.43146747724711, 'mse': 0.0085215010906072811, 'gamma': 0.029371610915921418}
{'C': 70015.096771993238, 'mse': 0.0046521723709362136, 'gamma': 0.00098016069850940623}
{'C': 0.0027551000099109266, 'mse': 0.53284991271650017, 'gamma': 0.49371069572785503}
{'C': 350394.61166857131, 'mse': 0.0089836112902729331, 'gamma': 0.0044720067761561903}
{'C': 1.5251841543945762e-10, 'mse': 0.53577514445343366, 'gamma': 2.1566959325896042e-07}
{'C': 9.0820507103121212e-07, 'mse': 0.53577510393935623, 'gamma': 4.0087558125346635e-08}
{'C': 2.3788240788985608e-07, 'mse': 0.53576804682582435, 'gamma': 0.0019506990473737963}
{'C': 9.1062987593649194e-06, 'mse': 0.53577511945968481, 'gamma': 2.466869464572153e-09}
{'C': 0.023845913126708182, 'mse': 0.13748261667912248, 'gamma': 4.971104362616396e-05}
{'C': 13108.131767998282, 'mse': 0.0052862804704857441, 'gamma': 1.7251544225724933e-06}
{'C': 4.3184066056539416, 'mse': 0.53505272199366405, 'gamma': 1.5019956714225676e-10}
{'C': 0.00066769836010215143, 'mse': 0.53576893441179951, 'gamma': 4.9562197079406607}
{'C': 1.3047249092259115e-09, 'mse': 0.53577514386909841, 'gamma': 4.2907514280613204e-07}
{'C': 9.7419254501766263e-07, 'mse': 0.53574182415912563, 'gamma': 0.001379469340827407}
{'C': 1946.0610073764055, 'mse': 0.16737182548159885, 'gamma': 0.87650946374107319}
{'C': 0.02525062917174966, 'mse': 0.11430783775401662, 'gamma': 0.00010024686911349443}
{'C': 27801.847100864597, 'mse': 0.077345865991860316, 'gamma': 3.5385793895893233e-10}
{'C': 3.8694137314842547e-05, 'mse': 0.53574762578868995, 'gamma': 0.74987993638568595}
{'C': 62.884814960514277, 'mse': 0.55035111053947405, 'gamma': 24.036598863675469}
{'C': 2.8998267587419991e-07, 'mse': 0.53577175467995242, 'gamma': 0.014720577223901439}
