{'C': 1.7575779611421649e-10, 'mse': 1039.8523611084452, 'gamma': 9.6850389201553235e-10}
{'C': 0.91182353932132498, 'mse': 1034.0282433745915, 'gamma': 6.0669162531364478}
{'C': 613930.29386672273, 'mse': 1054.2423848404267, 'gamma': 19.956471837207022}
{'C': 7.0612334543597612e-05, 'mse': 1039.8506780241214, 'gamma': 1.5736903926352325e-09}
{'C': 3.8157015408122636, 'mse': 1036.7700824561764, 'gamma': 2.0099093629377474}
{'C': 4.0087359988690698, 'mse': 1020.1906345805102, 'gamma': 2.8186626928293254e-10}
{'C': 12531.659175128751, 'mse': 825.25281234236058, 'gamma': 3.5977202947394946e-10}
{'C': 0.19202312857267528, 'mse': 1038.1059310562582, 'gamma': 8.2576363233694874}
{'C': 2.6726385906335173, 'mse': 1033.8707607237948, 'gamma': 0.0027783223613527938}
{'C': 2.3631245214678301e-06, 'mse': 1039.8523478934408, 'gamma': 0.25918600935805558}
{'C': 3.4197097070277972e-08, 'mse': 1039.8523609197068, 'gamma': 4.2246275856072462}
{'C': 800175.42228316586, 'mse': 1055.0560437411509, 'gamma': 0.3305228884608109}
{'C': 1494.6565368888869, 'mse': 852.93571821817727, 'gamma': 1.3428157476229994e-06}
{'C': 2017.9702397103349, 'mse': 828.96752031665619, 'gamma': 9.0363198104035347e-10}
{'C': 12290.837057747958, 'mse': 1271.9881747425197, 'gamma': 0.00015737827073727432}
{'C': 823016.99996687379, 'mse': 979.89534731155231, 'gamma': 1.4952603279667624e-06}
{'C': 154994.22497809248, 'mse': 1055.0579490390528, 'gamma': 0.35225024655981058}
{'C': 43749.063880874601, 'mse': 1055.0787446492893, 'gamma': 0.40402689839545647}
{'C': 2.8651403863086733e-10, 'mse': 1039.8523610267732, 'gamma': 4.5864460905074337e-06}
{'C': 8.6798652989590118e-08, 'mse': 1039.8523211094532, 'gamma': 6.6725428206783762e-07}
{'C': 3.2699081461705313, 'mse': 1035.4863694208595, 'gamma': 295.27593116817172}
{'C': 1.7884185513779621e-06, 'mse': 1039.8523481498335, 'gamma': 0.0021544689393958399}
{'C': 773803.15192991751, 'mse': 1093.0244212237392, 'gamma': 0.0013360685919038397}
{'C': 4.7305459562182331e-05, 'mse': 1039.8517904871148, 'gamma': 0.00074274538667619882}
{'C': 942006.00439401157, 'mse': 732.63043069489549, 'gamma': 4.3151643430223724e-10}
{'C': 3.8414995517539015e-09, 'mse': 1039.8523606043486, 'gamma': 2.2984875967227359e-05}
{'C': 226.88586802888739, 'mse': 1054.557484673237, 'gamma': 13.86171335608871}
{'C': 1.61686304273185, 'mse': 1033.7956881137927, 'gamma': 9.0790048183813177}
{'C': 0.00082482513017518135, 'mse': 1039.4710797491346, 'gamma': 5.389686206242108e-07}
{'C': 0.0001527674145686394, 'mse': 1039.8514292838061, 'gamma': 0.0038521160189164969}
{'C': 0.11001311202813797, 'mse': 1038.8379709881633, 'gamma': 95.136111233905481}
{'C': 1.3565148981133064e-07, 'mse': 1039.8522989694648, 'gamma': 3.7899916301607655e-07}
{'C': 1.5096446337782794e-06, 'mse': 1039.8518352005547, 'gamma': 2.9279671761696638e-06}
