{'nb_hidden3': 378, 'nb_hidden2': 25, 'nb_hidden1': 448, 'mse': 1001.9044, 'learning_rate': 0.075171194445649403, 'keep_value': 0.90305327785959, 'reg_scale': 9.510167948331591e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 310, 'nb_hidden2': 444, 'nb_hidden1': 450, 'mse': 379017.91, 'learning_rate': 12.627433350499627, 'keep_value': 0.98125605511479497, 'reg_scale': 0.0034545559550957787, 'nb_hidden_layer': 2}
{'nb_hidden3': 203, 'nb_hidden2': 419, 'nb_hidden1': 478, 'mse': 882.19183, 'learning_rate': 0.020076243356327569, 'keep_value': 0.59395721420528291, 'reg_scale': 3.7283452297395705e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 373, 'nb_hidden2': 423, 'nb_hidden1': 408, 'mse': 296068.06, 'learning_rate': 25.809515218808055, 'keep_value': 0.75331195684361707, 'reg_scale': 0.35899607008629947, 'nb_hidden_layer': 3}
{'nb_hidden3': 455, 'nb_hidden2': 335, 'nb_hidden1': 326, 'mse': 1003.6932, 'learning_rate': 0.068757507912066099, 'keep_value': 0.76041310835087705, 'reg_scale': 3.3811523872276795e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 355, 'nb_hidden2': 300, 'nb_hidden1': 12, 'mse': 953.12268, 'learning_rate': 0.00030704781394645225, 'keep_value': 0.46305180715135907, 'reg_scale': 2.1157780744936517e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 231, 'nb_hidden2': 418, 'nb_hidden1': 228, 'mse': 1323.166, 'learning_rate': 0.52810508122083999, 'keep_value': 0.97397744753547277, 'reg_scale': 0.02213562345927813, 'nb_hidden_layer': 3}
{'nb_hidden3': 175, 'nb_hidden2': 433, 'nb_hidden1': 222, 'mse': 20265170.0, 'learning_rate': 40.644097517495759, 'keep_value': 0.26706863244376111, 'reg_scale': 0.012670187163539556, 'nb_hidden_layer': 2}
{'nb_hidden3': 450, 'nb_hidden2': 412, 'nb_hidden1': 490, 'mse': 1014.8451, 'learning_rate': 0.080916878281521304, 'keep_value': 0.14796912552509767, 'reg_scale': 0.015482339735156012, 'nb_hidden_layer': 3}
{'nb_hidden3': 42, 'nb_hidden2': 332, 'nb_hidden1': 366, 'mse': 2203.6155, 'learning_rate': 0.00040383739617468539, 'keep_value': 0.027445704776429269, 'reg_scale': 0.00050367956194565303, 'nb_hidden_layer': 3}
{'nb_hidden3': 163, 'nb_hidden2': 350, 'nb_hidden1': 216, 'mse': 1562.7378, 'learning_rate': 1.6742910921897725, 'keep_value': 0.41693201709596683, 'reg_scale': 0.15257491515711125, 'nb_hidden_layer': 3}
{'nb_hidden3': 370, 'nb_hidden2': 97, 'nb_hidden1': 270, 'mse': 920.84869, 'learning_rate': 0.0002790783378473163, 'keep_value': 0.76871781021788599, 'reg_scale': 0.00014247498198531882, 'nb_hidden_layer': 1}
{'nb_hidden3': 291, 'nb_hidden2': 470, 'nb_hidden1': 82, 'mse': 906235.25, 'learning_rate': 34.134708380424051, 'keep_value': 0.51453685718794329, 'reg_scale': 4.1045524660984902e-06, 'nb_hidden_layer': 3}
