{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 5266.0804114093944}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 5311.0563555216522}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 5277.7992226967599}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 5093.8137949969596}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 5304.0939550945695}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 5273.6910488712629}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 5198.6746505796118}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 5114.6762398413675}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 5313.4815460646705}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 5198.6746505796118}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 5277.7367189749802}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 5166.9888407565631}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 5046.8972233679124}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 5445.9923452715102}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 5623.0053834655264}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 5553.0325756558941}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 5486.0078241610727}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 5445.9923452715102}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 5445.9923452715102}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 5623.0053834655264}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 5479.5575404514993}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 5518.5142249542396}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 5445.9923452715102}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 5492.5230319707107}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 5553.0325756558941}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 5445.9923452715102}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 5553.0325756558941}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 5445.9923452715102}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 5479.5575404514993}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 5445.9923452715102}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 5479.5575404514993}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 5519.2359949807587}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 5445.9923452715102}
