{'C': 49866.7881685506, 'mse': 0.0078858463059365697, 'gamma': 30.043750717206855}
{'C': 6.5442170834218165e-05, 'mse': 0.67260578102744173, 'gamma': 6.1880993050541626}
{'C': 0.015300989638502077, 'mse': 0.69219292385623843, 'gamma': 3.5797391766322131e-08}
{'C': 3.6671606257263718e-06, 'mse': 0.6916596394616118, 'gamma': 0.25444535216413899}
{'C': 3431.4891765332532, 'mse': 0.0018026825503012849, 'gamma': 0.37245076149320333}
{'C': 9.369197832914338e-06, 'mse': 0.69218937627108035, 'gamma': 0.00056987914404854091}
{'C': 3.9186906825594565e-08, 'mse': 0.69219332416754098, 'gamma': 1.5569336644340587e-08}
{'C': 1.6131191089548336e-10, 'mse': 0.69219332416783319, 'gamma': 1.3881567465527027e-06}
{'C': 2.5750598168857213, 'mse': 0.0090036870668037654, 'gamma': 196.49289697167362}
{'C': 2.6349371357989038e-08, 'mse': 0.69219310536852663, 'gamma': 0.011360962348709305}
{'C': 10787.929609158473, 'mse': 0.0062238330292336509, 'gamma': 0.001073657548683352}
{'C': 163.54302297526974, 'mse': 0.0065344793908239229, 'gamma': 13.594781603135434}
{'C': 28725.000908391128, 'mse': 0.0061725489842558903, 'gamma': 5.5224242308138457e-05}
{'C': 2.2065116801857435e-09, 'mse': 0.6921933081949696, 'gamma': 0.0098886441955846165}
{'C': 161909.72742944059, 'mse': 0.0079859360489658877, 'gamma': 35.432188040899881}
{'C': 7.613399108604538e-06, 'mse': 0.69196260328772496, 'gamma': 812.94961852960375}
{'C': 0.012054767749461992, 'mse': 0.68809570644279627, 'gamma': 0.00046036024471603307}
{'C': 68.675146558816039, 'mse': 0.0028882194914209925, 'gamma': 0.15544298022132896}
{'C': 0.50739157036848059, 'mse': 0.65596646013210058, 'gamma': 9.6526615172581052e-05}
{'C': 0.0003690280978195099, 'mse': 0.69123511702860174, 'gamma': 0.0035241084040873024}
{'C': 0.06387733756876135, 'mse': 0.69055436050018359, 'gamma': 3.470212818965432e-05}
{'C': 0.021161922372884775, 'mse': 0.62625889442366567, 'gamma': 0.0042975861212043009}
{'C': 0.0035958314606899262, 'mse': 0.69219331894002989, 'gamma': 1.9319337134044762e-09}
{'C': 1.8789004825896873, 'mse': 0.35660579862176661, 'gamma': 0.00027879387127393456}
{'C': 4.9790956836848223e-10, 'mse': 0.69219332416800006, 'gamma': 1.1989260349873828e-10}
{'C': 1.6567434044273608e-06, 'mse': 0.69193808355843944, 'gamma': 30.596513214204531}
{'C': 4.7325161440796907e-05, 'mse': 0.69173769633988413, 'gamma': 0.013200283175268583}
{'C': 2.4616294281161772e-05, 'mse': 0.69219306222530297, 'gamma': 1.4382988978253623e-05}
{'C': 0.010815047873212439, 'mse': 0.020819232864424421, 'gamma': 9.5394531958716051}
{'C': 5476.3307536519469, 'mse': 0.66257176293132158, 'gamma': 7.2662271858180182e-09}
{'C': 0.0016623523294695337, 'mse': 0.25848905103575071, 'gamma': 1.1956213442081662}
{'C': 0.00013932198474307585, 'mse': 0.66861519644820222, 'gamma': 26.966343180055251}
{'C': 0.0015061619500540875, 'mse': 0.69219331220830993, 'gamma': 1.0551318069230837e-08}
{'C': 7.0123853578378612e-05, 'mse': 0.68997439016378026, 'gamma': 0.044895951641544148}
