{'n_tournament': 4, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.0020249999999999999}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 2000, 'mse': 1.7333369499485123e-33}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.0017677643499999999}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.003216567499999998}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 2000, 'mse': 1.9259299443872359e-34}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.0024860674999999995}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.003216567499999998}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.003216567499999998}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 2000, 'mse': 1.640249999999976e-05}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 2000, 'mse': 1.9259299443872359e-34}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.0027913675000000061}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 2000, 'mse': 0.004472067500000009}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 2000, 'mse': 0.0044720674999999986}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 2000, 'mse': 0.003216567499999998}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 2000, 'mse': 0.003216567499999998}
{'n_tournament': 3, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 3, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0097775674999999972}
{'n_tournament': 3, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.003216567500000008}
{'n_tournament': 3, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 4, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.003216567499999998}
{'n_tournament': 4, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.004472067500000009}
{'n_tournament': 4, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0077915674999999981}
{'n_tournament': 5, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.003216567500000008}
{'n_tournament': 5, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 5, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 5, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0032165674999999976}
{'n_tournament': 6, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 6, 'init_depth': 5, 'pop_size': 5000, 'mse': 1.9259299443872359e-34}
{'n_tournament': 6, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.003216567499999998}
{'n_tournament': 6, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 7, 'init_depth': 4, 'pop_size': 5000, 'mse': 0.0044720674999999986}
{'n_tournament': 7, 'init_depth': 5, 'pop_size': 5000, 'mse': 0.0077915674999999981}
{'n_tournament': 7, 'init_depth': 6, 'pop_size': 5000, 'mse': 0.003216567499999998}
{'n_tournament': 7, 'init_depth': 7, 'pop_size': 5000, 'mse': 0.0076999674999999983}
