{'C': 22.218955108119623, 'mse': 39.786714766248807, 'gamma': 57.260420894643183}
{'C': 0.0023808425780633587, 'mse': 49.406003842660262, 'gamma': 2.5565107015200355e-09}
{'C': 361.0335439990647, 'mse': 54.644111911647364, 'gamma': 0.013298704597747832}
{'C': 0.55605070740706042, 'mse': 41.607106551371785, 'gamma': 5.7089574011807097e-08}
{'C': 4.7416399236858447e-10, 'mse': 49.621131912777471, 'gamma': 0.043833912852051224}
{'C': 236.68636438294121, 'mse': 39.215132736604644, 'gamma': 3.1038536638162113e-06}
{'C': 0.00046389825484824328, 'mse': 49.490861406405216, 'gamma': 7.9374260524964109e-06}
{'C': 6.8865047761995343e-06, 'mse': 49.621100210747485, 'gamma': 1.8473854070986289}
{'C': 7647.9063636999163, 'mse': 32.589673255769007, 'gamma': 4.3460148010920293e-05}
{'C': 0.0052069503232169568, 'mse': 49.484206761871917, 'gamma': 0.037754953293508378}
{'C': 24850.656877982234, 'mse': 38.052053296848484, 'gamma': 1.1246192341350131e-08}
{'C': 8.7883759205847665e-09, 'mse': 49.621125465451669, 'gamma': 1.268700968585607e-07}
{'C': 4.1471530931767384e-10, 'mse': 49.621131640335221, 'gamma': 7.9848736841633454e-08}
{'C': 0.00046762260389185189, 'mse': 49.619202872900608, 'gamma': 20.656818592683873}
{'C': 1.3686807316785533e-07, 'mse': 49.62110734181072, 'gamma': 0.00019209300632547634}
{'C': 41.176836875371585, 'mse': 37.223890547443489, 'gamma': 0.00010318947846521915}
{'C': 52.597473419395612, 'mse': 42.08794166565179, 'gamma': 6.3343127632660632e-08}
{'C': 34523.703147364278, 'mse': 63.308649893855936, 'gamma': 1.8736121108524149}
{'C': 5.2352616857940741e-10, 'mse': 49.62113180755172, 'gamma': 7.0453246038531467e-09}
{'C': 4.4083333450136855e-08, 'mse': 49.621099710361129, 'gamma': 1.2034860616076991e-07}
{'C': 110.34553102165911, 'mse': 40.948658128195582, 'gamma': 17.303302388247619}
{'C': 637.63263641262438, 'mse': 36.717667500824426, 'gamma': 1.2517716812410587e-05}
{'C': 280.45127070382313, 'mse': 38.899976913168999, 'gamma': 6.2845701197203105e-06}
{'C': 0.0022701805178589156, 'mse': 48.66491224607271, 'gamma': 1.2573290047882262e-06}
{'C': 3.9434819648282145e-10, 'mse': 49.621131888954089, 'gamma': 0.0027222248070621798}
{'C': 3907.3691709820323, 'mse': 93.532602530057659, 'gamma': 0.05190732852928516}
{'C': 0.00058706119085969323, 'mse': 49.602582321426659, 'gamma': 0.026327159354593305}
{'C': 0.019909172282878303, 'mse': 49.548224605034257, 'gamma': 20.801696224375227}
{'C': 6.3289611019330367e-09, 'mse': 49.621128049850327, 'gamma': 1.3316193775152109e-06}
{'C': 1.0116099109796728, 'mse': 46.061938493115363, 'gamma': 0.43704647792869195}
{'C': 1874.209356137568, 'mse': 117.37886319964706, 'gamma': 0.2724502804645999}
{'C': 1.6581057474895791, 'mse': 43.758511497147808, 'gamma': 1.7776065804839699e-10}
{'C': 0.0090756160662140012, 'mse': 49.560068028481822, 'gamma': 1.4380582040700451e-10}
